#Example csv file
# Begin: Backend
# Begin: Admin Menu and Titles
admin_dashboard_view_all_products_stock_0;view all products stock 0
admin_dashboard_price;Price
admin_dashboard_view_list;view complete list
admin_dashboard_revenue;Revenue
admin_dashboard_tax;Tax
admin_dashboard_shipping;Shipping
admin_dashboard_quantity;Quantity
admin_dashboard_last_5_search_terms;Top 5 Search Terms
admin_dashboard_search_term;Search Term
admin_dashboard_searches;No. of Searches
admin_dashboard_results;Results
admin_dashboard_number_of_uses;Number of Uses
admin_dashboard_top_5_search_terms;Top 5 Search Terms
admin_dashboard_orders_chart;Orders Chart
admin_dashboard_orders_chart_small;number of orders / month
admin_dashboard_january;January
admin_dashboard_february;February
admin_dashboard_march;March
admin_dashboard_april;April
admin_dashboard_may;May
admin_dashboard_june;June
admin_dashboard_july;July
admin_dashboard_august;August
admin_dashboard_september;September
admin_dashboard_october;October
admin_dashboard_november;November
admin_dashboard_december;December

admin_dashboard_unblocked_success;The site has been successfully unblocked
admin_dashboard_unblocked_error;Error unblocking site
admin_dashboard_blocked_success;The site has been successfully blocked
admin_dashboard_blocked_error;Error blocking site
# End: Dashboard Controller

# Begin: Sales Controller
sales_add_order_success;Order successfully created!
sales_add_order_error;Error creating order!
sales_edit_order_success;Order successfully modified!
sales_edit_order_error_1;Error modifying order!
sales_edit_order_error_2;Invalid order selected!
sales_status_success;Order status successfully changed!
sales_status_error_1;Invalid quantity for
sales_status_error_2;Error changing order status!
sales_status_error_3;Invalid order selected!
sales_status_error_4;Insufficient quantity of product:
sales_delete_success;Order successfully deleted!
sales_delete_error;Error deleting order!
sales_delete_wishlist_success;Wishlist successfully deleted!
sales_delete_wishlist_error;Error deleting wishlist!

# Begin: Index
sales_index_button_all_orders;All orders
sales_index_button_pending_orders;Pending orders
sales_index_button_accepted_orders;Accepted orders
sales_index_button_completed_orders;Completed orders
sales_index_button_rejected_orders;Rejected orders

sales_index_table_order_id;Order id
sales_index_table_products_cost;Products Cost
sales_index_table_discount;Discount
sales_index_table_shipping_cost;Shipping Cost
sales_index_table_total_cost;Total Cost
sales_index_table_name;Name
sales_index_table_order_date;Order Date
sales_index_table_status;Status
sales_index_table_action;Action

sales_index_table_pending;Pending
sales_index_table_accepted;Accepted
sales_index_table_completed;Completed
sales_index_table_rejected;Rejected
sales_index_table_card_unconfirmed;Unconfirmed
sales_index_table_card_confirmed;Confirmed
sales_index_table_details;Details
sales_index_table_edit;Edit
sales_index_table_delete;Delete

sales_index_message_status_change;Are you sure that you want to change this order status?
