#Example csv file
# Begin: Backend
# Begin: Admin Menu and Titles
admin_dashboard_customer;Client
admin_dashboard_items;Articole
admin_dashboard_grand_total;Total general
admin_dashboard_payment;Plată
admin_dashboard_total_sales;Vânzări totale
admin_dashboard_average_sales;Medie comandă
admin_dashboard_number_of_clients;Nr. clienţi
admin_dashboard_number_of_products;Nr. produse
admin_dashboard_order_evolution;Evoluţie comenzi
admin_dashboard_value;Valoare
admin_dashboard_last_5_registered_users;Ultimii 5 utilizatori înregistraţi
admin_dashboard_name;Nume
admin_dashboard_city;Oraş
admin_dashboard_all_orders;Total comenzi
admin_dashboard_statute;Statut
admin_dashboard_out_of_stock_products;Produse fără stoc
admin_dashboard_view_all_products_stock_0;vezi toate produsele stoc 0
admin_dashboard_price;Preţ
admin_dashboard_view_list;vezi lista completă
admin_dashboard_revenue;Venit
admin_dashboard_tax;Taxă
admin_dashboard_shipping;Transport
admin_dashboard_quantity;Cantitate
admin_dashboard_last_5_search_terms;Top 5 Cuvinte Cheie
admin_dashboard_search_term;Termen de căutare
admin_dashboard_searches;Căutari
admin_dashboard_results;Rezultate
admin_dashboard_number_of_uses;Nr. de utilizări
admin_dashboard_top_5_search_terms;Top 5 termeni de căutare
admin_dashboard_orders_chart;Diagramă comenzi
admin_dashboard_orders_chart_small;număr de comenzi / lună
admin_dashboard_january;Ianuarie
admin_dashboard_february;Februarie
admin_dashboard_march;Martie
admin_dashboard_april;Aprilie
admin_dashboard_may;Mai
admin_dashboard_june;Iunie
admin_dashboard_july;Iulie
admin_dashboard_august;August
admin_dashboard_september;Septembrie
admin_dashboard_october;Octombrie
admin_dashboard_november;Noiembrie
admin_dashboard_december;Decembrie

admin_dashboard_unblocked_success;Site-ul a fost deblocat cu succes
admin_dashboard_unblocked_error;Eroare la deblocarea site-ului
admin_dashboard_blocked_success;Site-ul a fost blocat cu succes
admin_dashboard_blocked_error;Eroare la blocarea site-ului
# End: Dashboard Controller

# Begin: Sales Controller
sales_add_order_success;Comanda a fost creată cu succes!
sales_add_order_error;Eroare la crearea comenzii!
sales_edit_order_success;Comanda a fost modificată cu succes!
sales_edit_order_error_1;Eroare la modificarea comenzii!
sales_edit_order_error_2;Comanda selectată este invalidă!
sales_status_success;Statusul comenzii a fost modificat cu succes!
sales_status_error_1;Cantitate invalidă pentru
sales_status_error_2;Eroare la schimbarea statusului comenzii!
sales_status_error_3;Comanda selectată este invalidă!
sales_status_error_4;Cantitate insuficientă la produsul:
sales_delete_success;Comanda a fost ştearsă cu succes!
sales_delete_error;Eroare la ştergera comenzii!
sales_delete_wishlist_success;Lista de dorinţe a fost ştearsă cu succes!
sales_delete_wishlist_error;Eroare la ştergerea listei de dorinţe!

# Begin: Index
sales_index_button_all_orders;Toate comenzile
